用例编号,外设数,主机数,显示器数,总价,佣金
1,17,1,1,500,25
2,1,10,1,505,25.25
3,1,1,15,520,26
4,7,7,1,520,26
5,8,1,8,485,24.25
6,1,6,6,475,23.75
7,5,5,5,500,25
8,37,1,1,1000,100
9,1,21,1,1000,100
10,1,1,31,1000,100
11,19,11,1,1000,100
12,19,1,16,1000,100
13,1,11,16,1000,100
14,10,10,10,1000,100
15,53,1,1,1400,140
16,1,30,1,1405,140.5
17,1,1,44,1390,139
18,20,20,1,1430,143
19,25,1,25,1420,142
20,1,18,18,1375,137.5
21,14,14,14,1400,140
22,69,1,1,1800,270
23,3,37,2,1800,270
24,3,1,56,1800,270
25,24,24,4,1800,270
26,30,2,32,1800,270
27,3,23,23,1800,270
28,18,18,18,1800,270
29,74,1,1,1925,288.75
30,1,42,1,1945,291.75
31,1,1,62,1930,289.5
32,28,28,1,1990,298.5
33,36,1,36,2025,303.75
34,1,26,26,1975,296.25
35,20,20,20,2000,300
36,1,1,1,100,5
37,90,70,80,7800,1170
38,0,1,1,75,0
39,1,0,1,55,0
40,1,1,0,70,0
41,0,0,1,30,0
42,0,1,0,45,0
43,1,0,0,25,0
44,0,0,0,0,0
45,-1,35,40,-1,-1
46,45,-1,40,-1,-1
47,45,35,-1,-1,-1
48,45,-1,-1,-1,-1
49,-1,35,-1,-1,-1
50,-1,-1,40,-1,-1
51,-1,-1,-1,-1,-1
52,91,35,40,-1,-1
53,45,71,40,-1,-1
54,45,35,81,-1,-1
55,45,71,81,-1,-1
56,91,35,81,-1,-1
57,91,71,40,-1,-1
58,91,71,81,-1,-1
59,45,-1,81,-1,-1
60,45,71,-1,-1,-1
61,-1,35,81,-1,-1
62,91,35,-1,-1,-1
63,-1,71,40,-1,-1
64,71,-1,40,-1,-1
65,-1,71,81,-1,-1
66,91,-1,-1,-1,-1
67,91,-1,81,-1,-1
68,-1,71,-1,-1,-1
69,91,71,-1,-1,-1
70,-1,-1,81,-1,-1
