Index, InputDate, ExpectDate
1,2000/1/27,2000/1/28
2,2000/1/31,2000/2/1
3,2000/2/28,2000/2/29
4,2000/2/29,2000/3/1
5,2000/4/30,2000/5/1
6,2000/12/31,2001/1/1
7,2008/1/27,2008/1/28
8,2008/1/31,2008/2/1
9,2008/2/28,2008/2/29
10,2008/2/29,2008/3/1
11,2008/4/30,2008/5/1
12,2008/12/31,2009/1/1
13,2003/1/27,2003/1/28
14,2003/1/31,2003/2/1
15,2003/2/28,2003/3/1
16,2003/4/30,2003/5/1
17,2003/12/31,2004/1/1
18,2017/2/29,2008/2/29
19,-1/2/29,2008/3/1
20,2008/-1/30,2008/5/1
21,2008/12/-1,2009/1/1
22,2003/13/27,2003/1/28
23,2003/1/32,2003/2/1
24,2003/4/31,2003/3/1
