Index,Input Date, Expext Date, Output Date, Is Correct, Input Correct
1,2000/01/27,2000/01/28,2000/01/28,True,True
2,2000/01/31,2000/02/01,2000/02/01,True,True
3,2000/02/28,2000/02/29,2000/02/29,True,True
4,2000/02/29,2000/03/01,2000/03/01,True,True
5,2000/04/30,2000/05/01,2000/05/01,True,True
6,2000/12/31,2001/01/01,2001/01/01,True,True
7,2008/01/27,2008/01/28,2008/01/28,True,True
8,2008/01/31,2008/02/01,2008/02/01,True,True
9,2008/02/28,2008/02/29,2008/02/29,True,True
10,2008/02/29,2008/03/01,2008/03/01,True,True
11,2008/04/30,2008/05/01,2008/05/01,True,True
12,2008/12/31,2009/01/01,2009/01/01,True,True
13,2003/01/27,2003/01/28,2003/01/28,True,True
14,2003/01/31,2003/02/01,2003/02/01,True,True
15,2003/02/28,2003/03/01,2003/03/01,True,True
16,2003/04/30,2003/05/01,2003/05/01,True,True
17,2003/12/31,2004/01/01,2004/01/01,True,True
18,0001/01/01,0001/01/01,NULL, NULL, False
19,0001/01/01,0001/01/01,NULL, NULL, False
20,0001/01/01,0001/01/01,NULL, NULL, False
21,0001/01/01,0001/01/01,NULL, NULL, False
22,0001/01/01,0001/01/01,NULL, NULL, False
23,0001/01/01,0001/01/01,NULL, NULL, False
24,0001/01/01,0001/01/01,NULL, NULL, False
