ID,Holding time, Break times, Discount, Expect Fare, Middle Value, Output Discount, Output Fare, Correct
TC1,0,0,0.00%,25.00,0,0.00%,25.00,True
TC2,1,0,1.00%,25.15,0.1485,1.00%,25.15,True
TC3,1,1,1.00%,25.15,0.1485,1.00%,25.15,True
TC4,2,0,1.00%,25.30,0.297,1.00%,25.30,True
TC5,2,1,1.00%,25.30,0.297,1.00%,25.30,True
TC6,30,0,1.00%,29.46,4.455,1.00%,29.46,True
TC7,30,1,1.00%,29.46,4.455,1.00%,29.46,True
TC8,59,0,1.00%,33.76,8.7615,1.00%,33.76,True
TC9,59,1,1.00%,33.76,8.7615,1.00%,33.76,True
TC10,60,0,1.00%,33.91,8.91,1.00%,33.91,True
TC11,60,1,1.00%,33.91,8.91,1.00%,33.91,True
TC12,1,2,0.00%,25.15,0.15,0.00%,25.15,True
TC13,1,3,0.00%,25.15,0.15,0.00%,25.15,True
TC14,1,7,0.00%,25.15,0.15,0.00%,25.15,True
TC15,1,10,0.00%,25.15,0.15,0.00%,25.15,True
TC16,1,11,0.00%,25.15,0.15,0.00%,25.15,True
TC17,2,2,0.00%,25.30,0.3,0.00%,25.30,True
TC18,2,3,0.00%,25.30,0.3,0.00%,25.30,True
TC19,2,7,0.00%,25.30,0.3,0.00%,25.30,True
TC20,2,10,0.00%,25.30,0.3,0.00%,25.30,True
TC21,2,11,0.00%,25.30,0.3,0.00%,25.30,True
TC22,30,2,0.00%,29.50,4.5,0.00%,29.50,True
TC23,30,3,0.00%,29.50,4.5,0.00%,29.50,True
TC24,30,7,0.00%,29.50,4.5,0.00%,29.50,True
TC25,30,10,0.00%,29.50,4.5,0.00%,29.50,True
TC26,30,11,0.00%,29.50,4.5,0.00%,29.50,True
TC27,59,2,0.00%,33.85,8.85,0.00%,33.85,True
TC28,59,3,0.00%,33.85,8.85,0.00%,33.85,True
TC29,59,7,0.00%,33.85,8.85,0.00%,33.85,True
TC30,59,10,0.00%,33.85,8.85,0.00%,33.85,True
TC31,59,11,0.00%,33.85,8.85,0.00%,33.85,True
TC32,60,2,0.00%,34.00,9,0.00%,34.00,True
TC33,60,3,0.00%,34.00,9,0.00%,34.00,True
TC34,60,7,0.00%,34.00,9,0.00%,34.00,True
TC35,60,10,0.00%,34.00,9,0.00%,34.00,True
TC36,60,11,0.00%,34.00,9,0.00%,34.00,True
TC37,61,0,1.50%,34.01,9.01,1.50%,34.01,True
TC38,61,1,1.50%,34.01,9.01,1.50%,34.01,True
TC39,61,2,1.50%,34.01,9.01,1.50%,34.01,True
TC40,62,0,1.50%,34.16,9.16,1.50%,34.16,True
TC41,62,1,1.50%,34.16,9.16,1.50%,34.16,True
TC42,62,2,1.50%,34.16,9.16,1.50%,34.16,True
TC43,90,0,1.50%,38.30,13.3,1.50%,38.30,True
TC44,90,1,1.50%,38.30,13.3,1.50%,38.30,True
TC45,90,2,1.50%,38.30,13.3,1.50%,38.30,True
TC46,119,0,1.50%,42.58,17.58,1.50%,42.58,True
TC47,119,1,1.50%,42.58,17.58,1.50%,42.58,True
TC48,119,2,1.50%,42.58,17.58,1.50%,42.58,True
TC49,120,0,1.50%,42.73,17.73,1.50%,42.73,True
TC50,120,1,1.50%,42.73,17.73,1.50%,42.73,True
TC51,120,2,1.50%,42.73,17.73,1.50%,42.73,True
TC52,61,3,0.00%,34.15,9.15,0.00%,34.15,True
TC53,61,4,0.00%,34.15,9.15,0.00%,34.15,True
TC54,61,7,0.00%,34.15,9.15,0.00%,34.15,True
TC55,61,10,0.00%,34.15,9.15,0.00%,34.15,True
TC56,61,11,0.00%,34.15,9.15,0.00%,34.15,True
TC57,62,3,0.00%,34.30,9.3,0.00%,34.30,True
TC58,62,4,0.00%,34.30,9.3,0.00%,34.30,True
TC59,62,7,0.00%,34.30,9.3,0.00%,34.30,True
TC60,62,10,0.00%,34.30,9.3,0.00%,34.30,True
TC61,62,11,0.00%,34.30,9.3,0.00%,34.30,True
TC62,90,3,0.00%,38.50,13.5,0.00%,38.50,True
TC63,90,4,0.00%,38.50,13.5,0.00%,38.50,True
TC64,90,7,0.00%,38.50,13.5,0.00%,38.50,True
